BARCODE	Sample name	Treatment	Description	shortd	dil
1	S1	spike only 	spike + primers	spike only 	1
2	S2	spike only 	spike + primers	spike only 	1
3	S3	spike only 	spike + primers	spike only 	1
4	S4	spike only 	spike + primers	spike only 	1
5	S5	spike only 	spike + primers	spike only 	1
6	S6	spike only 	spike + primers	spike only 	1
7	S7	spike only 	spike + primers	spike only 	1
8	S8	spike only 	spike + primers	spike only 	1
9	S9	spike only 	spike + primers	spike only 	1
10	S10	spike only 	spike + primers	spike only 	1
11	S11	spike only 	spike + primers	spike only 	1
12	S12	spike only 	spike + primers	spike only 	1
13	S13	spike only 	spike + primers	spike only 	1
14	S14	spike only 	spike + primers	spike only 	1
15	S15	spike only 	spike + primers	spike only 	1
16	S16	spike only 	spike + primers	spike only 	1
17	S17	spike only 	spike + primers	spike only 	1
18	S18	spike only 	spike + primers	spike only 	1
19	S19	spike only 	spike + primers	spike only 	1
20	S20	spike only 	spike + primers	spike only 	1
21	S21	P14 spleen - no spike 	P14 transgenic mouse gDNA + primers (expect monoclonal TCR repertoire)	P14 spleen - no spike 	0
22	S22	P14 spleen - no spike 	P14 transgenic mouse gDNA + primers (expect monoclonal TCR repertoire)	P14 spleen - no spike 	0
23	S23	P14 spleen - no spike 	P14 transgenic mouse gDNA + primers (expect monoclonal TCR repertoire)	P14 spleen - no spike 	0
24	S24	P14 spleen - no spike 	P14 transgenic mouse gDNA + primers (expect monoclonal TCR repertoire)	P14 spleen - no spike 	0
25	S25	P14 spleen - no spike 	P14 transgenic mouse gDNA + primers (expect monoclonal TCR repertoire)	P14 spleen - no spike 	0
26	S26	OT1 spleen - no spike 	OT1 transgenic mouse gDNA + primers (expect monoclonal TCR repertoire)	OT1 spleen - no spike 	0
27	S27	OT1 spleen - no spike 	OT1 transgenic mouse gDNA + primers (expect monoclonal TCR repertoire)	OT1 spleen - no spike 	0
28	S28	OT1 spleen - no spike 	OT1 transgenic mouse gDNA + primers (expect monoclonal TCR repertoire)	OT1 spleen - no spike 	0
29	S29	OT1 spleen - no spike 	OT1 transgenic mouse gDNA + primers (expect monoclonal TCR repertoire)	OT1 spleen - no spike 	0
30	S30	OT1 spleen - no spike 	OT1 transgenic mouse gDNA + primers (expect monoclonal TCR repertoire)	OT1 spleen - no spike 	0
31	S31	El4 - no spike 	El4 - mouse T cell line gDNA +primers   (expect monoclonal TCR repertoire)	El4 - no spike 	0
