batch	sample.id	num.reads	num.spiked.reads	pct.spiked.reads	pct.unspiked.reads
DNA160609LC	S1	686374	632155	92.1006623211252	7.8993376788748
DNA160609LC	S10	1078247	993482	92.1386287186517	7.8613712813483
DNA160609LC	S11	1916805	1785389	93.1440078672583	6.8559921327417
DNA160609LC	S12	1011097	943971	93.3610721819964	6.63892781800359
DNA160609LC	S13	768413	714709	93.0110500473053	6.9889499526947
DNA160609LC	S14	508421	460896	90.6524317445581	9.3475682554419
DNA160609LC	S15	925440	862000	93.1448824343015	6.85511756569851
DNA160609LC	S16	716742	660560	92.1614751193596	7.83852488064041
DNA160609LC	S17	572435	533965	93.2795863285788	6.7204136714212
DNA160609LC	S18	914924	844650	92.3191434479804	7.68085655201961
DNA160609LC	S19	723413	659065	91.1049428196618	8.8950571803382
DNA160609LC	S2	1209673	1134018	93.7458304847674	6.2541695152326
DNA160609LC	S20	1169669	1088644	93.0728265859829	6.9271734140171
DNA160609LC	S3	865117	789455	91.2541309441382	8.7458690558618
DNA160609LC	S4	1095477	1009279	92.1314641932236	7.86853580677641
DNA160609LC	S5	1445022	1333287	92.2675917736893	7.7324082263107
DNA160609LC	S6	1100437	1016705	92.3910228391085	7.6089771608915
DNA160609LC	S7	1433990	1347422	93.9631378182554	6.0368621817446
DNA160609LC	S8	1864230	1736191	93.1318024063554	6.8681975936446
DNA160609LC	S9	1328501	1215631	91.5039582205809	8.4960417794191
