Sample	Group	aClonality	aEntropy	aHyper	aClonalityOurCode	aEntropyOurCode	ourClonality	ourEntropy	ourHyper
Control 1	control	0.14443545	8.350214	0.182777165	0.134482061	6.220391761	0.263941306	4.966619724	0.4307
Control 2	control	0.16552192	8.96703	0.172140665	0.150549155	6.652236631	0.279324474	5.952948696	0.3112
Control 3	control	0.25467592	7.332221	0.514973378	0.357938664	4.645711293	0.383090076	4.577089511	0.4973
Control 4	control	0.16189763	9.106597	0.166423655	0.175325306	6.575827667	0.263195426	6.312297298	0.2485
F 1	F	0.18779126	9.534467	0.12766926	0.187897142	6.951961229	0.239948367	6.324525161	0.1902
F 2	F	0.42699507	7.2548785	0.480023604	0.417226799	5.353561514	0.335079336	4.909767173	0.5520
F 3	F	0.40414792	7.8171415	0.487178357	0.422595814	5.494739768	0.42830822	4.726726088	0.6386
GA 1	control	0.2542253	7.9486246	0.344914574	0.251141618	5.835983935	0.232286566	5.793102737	0.2525
GA 2	control	0.17850977	9.359559	0.203753223	0.188345991	6.743983045	0.314854008	5.931992676	0.3310
GA 3	control	0.22037378	8.776555	0.244542945	0.24058589	6.252234943	0.243358819	6.221725845	0.2274
GA 4	control	0.11593853	8.713686	0.153634664	0.121894767	6.368066526	0.162941081	5.896270561	0.2145
GAF 2	F	0.22308405	8.512183	0.237520434	0.20274454	6.389209241	0.200633745	5.28113322	0.3466
GAF 3	F	0.23825067	7.8644376	0.388666643	0.228865163	5.819734656	0.307063461	5.424333585	0.4417
GAFR 1	F	0.25253057	8.808043	0.329431784	0.26381876	6.303587863	0.33705464	5.745170878	0.4168
GAFR 2	F	0.26435032	8.417617	0.293375548	0.246790643	6.27088089	0.266069158	5.706206436	0.3273
GAFR 3	F	0.30326226	7.623552	0.548082108	0.348774568	5.220859798	0.384820806	4.260482073	0.6574
