batch	sample	monoclonal	tissue	tissue_amount	dilution	dilution_ratio
LIB170111LC	49	P14	spleen	1200	dil5	1
LIB170111LC	50	P14	spleen	1200	dil5	1
LIB170111LC	51	P14	spleen	1200	dil5	1
LIB170111LC	52	P14	spleen	900	dil5	1
LIB170111LC	53	P14	spleen	900	dil5	1
LIB170111LC	54	P14	spleen	900	dil5	1
LIB170111LC	55	P14	spleen	600	dil5	1
LIB170111LC	56	P14	spleen	600	dil5	1
LIB170111LC	57	P14	spleen	600	dil5	1
LIB170111LC	58	P14	spleen	300	dil5	1
LIB170111LC	59	P14	spleen	300	dil5	1
LIB170111LC	60	P14	spleen	300	dil5	1
LIB170111LC	61	OT1	spleen	1200	dil5	1
LIB170111LC	62	OT1	spleen	1200	dil5	1
LIB170111LC	63	OT1	spleen	1200	dil5	1
LIB170111LC	64	OT1	spleen	900	dil5	1
LIB170111LC	65	OT1	spleen	900	dil5	1
LIB170111LC	66	OT1	spleen	900	dil5	1
LIB170111LC	67	OT1	spleen	600	dil5	1
LIB170111LC	68	OT1	spleen	600	dil5	1
LIB170111LC	69	OT1	spleen	600	dil5	1
LIB170111LC	70	OT1	spleen	300	dil5	1
LIB170111LC	71	OT1	spleen	300	dil5	1
LIB170111LC	72	OT1	spleen	300	dil5	1
LIB170111LC	73	P14_OT1	spleen	1200	dil5	1
LIB170111LC	74	P14_OT1	spleen	1200	dil5	1
LIB170111LC	75	P14_OT1	spleen	1200	dil5	1
LIB170111LC	76	P14_OT1	spleen	900	dil5	1
LIB170111LC	77	P14_OT1	spleen	900	dil5	1
LIB170111LC	78	P14_OT1	spleen	900	dil5	1
LIB170111LC	79	P14_OT1	spleen	600	dil5	1
LIB170111LC	80	P14_OT1	spleen	600	dil5	1
LIB170111LC	81	P14_OT1	spleen	600	dil5	1
LIB170111LC	82	P14_OT1	spleen	300	dil5	1
LIB170111LC	83	P14_OT1	spleen	300	dil5	1
LIB170111LC	84	P14_OT1	spleen	300	dil5	1
LIB170111LC	105	NA	NA	NA	new_dil	0
LIB170111LC	106	NA	NA	NA	new_dil	0
LIB170111LC	107	NA	NA	NA	new_dil	0
LIB170111LC	108	NA	NA	NA	new_dil	0
LIB170111LC	109	NA	NA	NA	new_dil	0
LIB170111LC	110	NA	NA	NA	new_dil	0
LIB170111LC	111	NA	NA	NA	new_dil	0
LIB170111LC	112	NA	NA	NA	new_dil	0
LIB170111LC	113	NA	NA	NA	new_dil	0
LIB170111LC	114	NA	NA	NA	new_dil	0
LIB170111LC	125	NA	NA	NA	dil5	1
LIB170111LC	126	NA	NA	NA	dil5	1
LIB170111LC	127	NA	NA	NA	dil5	1
LIB170111LC	128	NA	NA	NA	dil5	1
LIB170111LC	129	NA	NA	NA	dil5	1
LIB170111LC	130	NA	NA	NA	dil5	1
LIB170111LC	131	NA	NA	NA	dil5	1
LIB170111LC	132	NA	NA	NA	dil5	1
LIB170111LC	133	NA	NA	NA	dil5	1
LIB170111LC	134	NA	NA	NA	dil5	1
DNA160609LC	1	NA	NA	NA	unknown	1
DNA160609LC	2	NA	NA	NA	unknown	1
DNA160609LC	3	NA	NA	NA	unknown	1
DNA160609LC	4	NA	NA	NA	unknown	1
DNA160609LC	5	NA	NA	NA	unknown	1
DNA160609LC	6	NA	NA	NA	unknown	1
DNA160609LC	7	NA	NA	NA	unknown	1
DNA160609LC	8	NA	NA	NA	unknown	1
DNA160609LC	9	NA	NA	NA	unknown	1
DNA160609LC	10	NA	NA	NA	unknown	1
DNA160609LC	11	NA	NA	NA	unknown	1
DNA160609LC	12	NA	NA	NA	unknown	1
DNA160609LC	13	NA	NA	NA	unknown	1
DNA160609LC	14	NA	NA	NA	unknown	1
DNA160609LC	15	NA	NA	NA	unknown	1
DNA160609LC	16	NA	NA	NA	unknown	1
DNA160609LC	17	NA	NA	NA	unknown	1
DNA160609LC	18	NA	NA	NA	unknown	1
DNA160609LC	19	NA	NA	NA	unknown	1
DNA160609LC	20	NA	NA	NA	unknown	1
